name,genericName,description,category,price,stockQuantity,manufacturer,dosage,form,prescriptionRequired
udcare 300mg tablet,udcare,Treatment of Primary biliary cirrhosis,GASTRO,142,490,Dr Reddy,300mg,tablet,false
ultrabest tablet,ultrabest,Pain relief,PAIN,115,254,Sun Pharma,200mg,injection,false
ut-fer sr tablet,ut-fer,Treatment of Bacterial infections of urinary tract,UROLOGY,58,85,Abbott,500mg,syrup,false
unizuva gold 75mg/20mg/75mg capsule,unizuva,Heart attack,CARDIAC,120,449,Zydus,75mg,capsule,true
uroflamed tablet,uroflamed,Treatment of Muscle spasms of the urinary tract,UROLOGY,59,115,Cipla,250mg,tablet,true
unipanza-dsr capsule,unipanza-dsr,Treatment of Gastroesophageal reflux disease (Acid reflux),GASTRO,147,500,Cipla,500mg,tablet,false
unocef tablet dt,unocef,Treatment of Bacterial infections,ANTI,45,231,Alkem,200mg,injection,true
unizuva f 160mg/10mg tablet,unizuva,Treatment of High cholesterol,CARDIAC,139,338,Torrent,160mg,syrup,true
ubiphene 50 tablet,ubiphene,Female infertility,GYNAECOLOGICAL,21,357,Sun Pharma,100mg,injection,true
ultradent dental gel,ultradent,Treatment of Dental cavities,STOMATOLOGICALS,152,114,Torrent,500mg,tablet,false
ubivion 300 softgel capsule,ubivion,Treatment of Nutritional deficiencies,VITAMINS,118,379,Torrent,650mg,injection,false
udivor 300mg tablet,udivor,Treatment of Primary biliary cirrhosis,GASTRO,132,408,Zydus,300mg,tablet,false
utreva 300mg capsule,utreva,Hormone replacement therapy,GYNAECOLOGICAL,29,156,Zydus,300mg,tablet,true
ultop 40mg tablet,ultop,Treatment of Heartburn,GASTRO,27,289,Mankind,40mg,tablet,false
umfla tablet,umfla,Pain relief,PAIN,138,188,Torrent,100mg,injection,true
udfit 300 tablet,udfit,Treatment of Primary biliary cirrhosis,GASTRO,92,241,Torrent,650mg,syrup,false
ureka 300mg tablet,ureka,Treatment of Gout,PAIN,130,467,Zydus,300mg,injection,false
ubiphene tablet,ubiphene,Female infertility,GYNAECOLOGICAL,155,272,Alkem,500mg,tablet,true
ultimax 40 tablet,ultimax,Treatment of Heartburn,GASTRO,123,119,Lupin,100mg,syrup,true
urilosin 0.4mg capsule,urilosin,Treatment of Benign prostatic hyperplasia,UROLOGY,145,497,Zydus,4mg,tablet,false
urisol o 200 mg/200 mg tablet,urisol,Treatment of Urinary tract infections (UTIs),ANTI,113,254,Abbott,200 mg,capsule,false
urgendol 50mg tablet,urgendol,Moderate to severe pain,PAIN,134,370,Lupin,50mg,capsule,false
urely 200mg tablet,urely,Treatment of Muscle spasms of the urinary tract,UROLOGY,147,186,Abbott,200mg,capsule,true
ursowal 300mg tablet,ursowal,Treatment of Primary biliary cirrhosis,GASTRO,180,431,Alkem,300mg,tablet,false
udipac 300mg tablet,udipac,Treatment of Primary biliary cirrhosis,GASTRO,74,290,Dr Reddy,300mg,injection,false
ultramin tablet,ultramin,Pain relief,PAIN,128,107,Mankind,500mg,injection,false
ultravist 370mg i/ml injection,ultravist,Diagnostic agent,OTHERS,75,168,Torrent,370mg,capsule,true
ultimet 500mg tablet,ultimet,Treatment of Type 2 diabetes mellitus,ANTI,137,81,Zydus,500mg,tablet,true
utirick-b6 syrup,utirick-b6,Treatment and prevention of Kidney stone,UROLOGY,137,242,Lupin,650mg,capsule,false
ursol 300mg tablet,ursol,Treatment of Primary biliary cirrhosis,GASTRO,152,313,Mankind,300mg,syrup,true
ultra wet lubricant eye drop,ultra,Treatment of Dry eyes,OPHTHAL,80,406,Dr Reddy,200mg,syrup,true
urtizen 25mg tablet,urtizen,Treatment of Anxiety,RESPIRATORY,63,321,Alkem,25mg,tablet,false
ultimont lc 10 tablet,ultimont,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,64,225,Sun Pharma,100mg,syrup,false
utinex 100mg tablet sr,utinex,Treatment of Bacterial infections of urinary tract,UROLOGY,184,168,Cipla,100mg,capsule,false
utirantin 100mg tablet,utirantin,Treatment of Bacterial infections of urinary tract,UROLOGY,50,117,Mankind,100mg,syrup,true
ulsol 40mg tablet,ulsol,Treatment of Heartburn,GASTRO,184,61,Abbott,40mg,tablet,false
unobona tablet,unobona,Nutritional deficiencies,VITAMINS,56,324,Mankind,100mg,capsule,false
utizap granules,utizap,Bacterial infections of urinary tract,ANTI,69,459,Torrent,200mg,capsule,false
unidrea 500mg capsule,unidrea,Head and neck cancer,ANTI,92,53,Abbott,500mg,injection,false
u-cox mr tablet,u-cox,Treatment of Pain due to muscle spasm,PAIN,71,313,Cipla,250mg,tablet,true
uniclor 500mg capsule,uniclor,Bacterial infections,ANTI,137,304,Lupin,500mg,syrup,false
urimet 100 sr tablet,urimet,Treatment of Bacterial infections of urinary tract,UROLOGY,142,168,Torrent,500mg,capsule,true
unimazole dusting powder,unimazole,Treatment of Fungal skin infections,DERMA,119,315,Lupin,650mg,capsule,true
uniair l tablet,uniair,Treatment of Sneezing and runny nose due to allergies,RESPIRATORY,186,378,Dr Reddy,100mg,injection,false
uriless 40mg tablet,uriless,Treatment of Gout,PAIN,82,84,Mankind,40mg,capsule,true
udinol 150mg tablet,udinol,Treatment of Primary biliary cirrhosis,GASTRO,176,264,Lupin,150mg,injection,true
